radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal,address
LTE,222,1,11301,128243203,0,9.067153931,45.49919128,1000,1,1,1441169803,1441169803,0,"A50, 20153 Milano MI, Italy"
LTE,222,1,11300,128256257,0,9.141311646,45.52116394,1000,1,1,1436408765,1436408765,0,"Via Carlo Amoretti, 63, 20157 Milano MI, Italy"
LTE,222,1,11300,128230660,0,9.102859497,45.51841736,1000,1,1,1445399691,1445399691,0,"Viale 19, 20157 Milano MI, Italy"
LTE,222,1,11300,128242440,0,9.10697937,45.50468445,1000,1,1,1444548240,1444548240,0,"Via Gallarate, 392, 20151 Milano MI, Italy"
LTE,222,1,11268,128213518,0,9.157791138,45.47859192,1000,1,1,1435221251,1435221251,0,"Piazza Tre Torri, 20145 Milano MI, Italy"
LTE,222,1,11268,128257027,0,9.168777466,45.48820496,1000,1,1,1435221162,1435221162,0,"Via Giuseppe Antonio Borgese, 1, 20154 Milano MI, Italy"
LTE,222,1,11268,128201987,0,9.156417847,45.4964447,1000,1,1,1445399691,1445399691,0,"Via Ercolano, 3, 20155 Milano MI, Italy"
LTE,222,1,11268,128018946,0,9.179763794,45.47584534,1000,1,1,1435627923,1435627923,0,"Viale Giorgio Byron, 2, 20154 Milano MI, Italy"
LTE,222,1,11268,128036865,0,9.159164429,45.5115509,1000,1,1,1443602845,1443602845,0,"Via Privata Prassitele, 2, 20157 Milano MI, Italy"
LTE,222,1,11268,128036610,0,9.16053772,45.48683167,1000,1,1,1444654532,1444654532,0,"Via Ezio Biondi, 6, 20154 Milano MI, Italy"
LTE,222,1,11268,128020225,0,9.168777466,45.48545837,1000,1,1,1436356688,1436356688,0,"Via Paolo Lomazzo, 59, 20154 Milano MI, Italy"
